frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
12,50,485.4958073968858,337.9999343506986,18,260,3516,3584,2021-07-26 10:03:44,5343692.365591183,441879.407299843,1,,
13,64,461.70655352477695,347.4267695267194,30,260,3826,3968,2021-07-26 10:10:08,5326739.911110772,448409.23575341166,1,0.0,1303.0
14,217,469.4227481418367,351.57669370480085,32,250,4272,4224,2021-07-26 10:14:24,5332197.29190505,451406.074561271,1,256.0,1303.0
15,220,473.4606624961482,353.2704775129307,144,250,4585,4480,2021-07-26 10:18:40,5335054.709845489,452632.80341155396,1,512.0,1303.0
16,339,477.2243504512716,353.5856065398166,88,240,5004,4864,2021-07-26 10:25:04,5337724.129756748,452878.53583475744,1,896.0,1303.0
17,400,485.0722403048679,356.4179770217639,28,230,5370,5120,2021-07-26 10:29:20,5343273.958190848,454932.2675385625,1,1152.0,1303.0
18,398,485.8970218763382,359.3248342882647,127,230,5685,5376,2021-07-26 10:33:36,5343842.761394496,456997.23217580095,1,1408.0,1303.0
19,396,486.98634479253127,361.1486610472309,376,230,5995,5760,2021-07-26 10:40:00,5344605.4165960075,458295.6210954679,1,1792.0,1303.0
20,398,490.11015816926687,364.01746775601,575,230,6304,6016,2021-07-26 10:44:16,5346804.1718035145,460344.1055163866,1,2048.0,1303.0
21,393,492.2010017403477,366.7607649986889,738,230,6620,6272,2021-07-26 10:48:32,5348272.282491731,462297.3598821338,1,2304.0,1303.0
22,412,495.86959082925966,370.5831903659956,1150,230,6940,6656,2021-07-26 10:54:56,5350852.704185483,465020.5382376789,1,2688.0,1303.0
23,400,498.518360668582,373.7482484291485,1396,230,7233,6912,2021-07-26 10:59:12,5352714.310037249,467271.88184094144,1,2944.0,1303.0
24,416,500.33801142794965,376.6369035173291,1589,230,7550,7296,2021-07-26 11:05:36,5353990.630646928,469323.115446733,1,3328.0,1303.0
25,422,485.69850026179967,369.6481038222754,20,220,7863,7552,2021-07-26 11:09:52,5343651.530555583,464313.4449924443,1,,
26,404,506.7433058130184,382.4759571046994,2472,230,8147,7808,2021-07-26 11:14:08,5358499.97062074,473475.5380607731,1,0.0,2432.0
27,406,509.7200766820528,385.4254579695317,2737,230,8442,8192,2021-07-26 11:20:32,5360594.8104242915,475569.76790258364,1,384.0,2432.0
28,430,514.3934234278007,389.7568551500626,3184,230,8753,8448,2021-07-26 11:24:48,5363884.447720524,478643.1813274812,1,640.0,2432.0
29,413,510.6714811727719,389.2828614737312,3995,230,9051,8704,2021-07-26 11:29:04,5361256.091408732,478298.346493369,1,896.0,2432.0
30,417,510.08903076383234,391.363152616769,4844,230,9363,9088,2021-07-26 11:35:28,5360838.95873274,479766.88250892493,1,1280.0,2432.0
31,420,511.86933051042274,394.0736595914108,5424,230,9675,9344,2021-07-26 11:39:44,5362090.461561103,481686.33082896564,1,1536.0,2432.0
