frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
1,18,398.4241533367936,578.5843192722162,60,260,239,256,2021-06-22 11:09:52,5282449.439401206,613630.0901040147,1,0.0,230.0
2,12,401.70681091105433,581.8588688262236,127,260,456,512,2021-06-22 11:14:08,5284847.419734608,615929.3325532959,1,256.0,230.0
3,13,406.7586906319021,585.7957703986332,189,260,671,896,2021-06-22 11:20:32,5288521.797086455,618674.98603387,1,640.0,230.0
4,10,411.743453630498,588.0550965186554,259,260,888,1152,2021-06-22 11:24:48,5292122.040468991,620218.1076844848,1,896.0,230.0
5,104,420.47952778918216,592.3033481319629,66,250,1173,1408,2021-06-22 11:29:04,5298431.814965663,623124.044056389,1,0.0,748.0
6,106,423.8500433253091,595.7481195792903,143,250,1401,1792,2021-06-22 11:35:28,5300892.744829326,625533.1944939657,1,384.0,748.0
7,197,430.4913613263493,601.5018475195542,32,240,1683,2048,2021-06-22 11:39:44,5305725.2873201305,629536.3204185977,1,640.0,748.0
8,206,428.0469675340983,600.8940985891828,251,240,1911,2304,2021-06-22 11:44:00,5303970.605577616,629141.6385283966,1,896.0,748.0
9,279,431.1327137110199,602.1946439124936,145,230,2204,2688,2021-06-22 11:50:24,5306194.026682388,630020.4141046276,1,1280.0,748.0
10,277,436.4893787422918,606.8346364419173,241,230,2424,2944,2021-06-22 11:54:40,5310091.070829543,633243.1598291382,1,1536.0,748.0
11,289,443.2020168800788,611.8726885611209,569,230,2643,3200,2021-06-22 11:58:56,5314960.281476066,636722.2366973122,1,1792.0,748.0
12,307,447.5378930614559,613.9242571563994,747,230,2883,3584,2021-06-22 12:05:20,5318084.000620547,638109.8114078081,1,2176.0,748.0
13,307,451.1508588306566,618.4125659001112,974,230,3120,3840,2021-06-22 12:09:36,5320734.366176844,641242.8746501182,1,2432.0,748.0
14,308,439.53185329413714,619.2154752966229,35,220,3356,4096,2021-06-22 12:13:52,5312471.319144987,642018.6367197579,1,0.0,1921.0
15,290,438.5385675835357,619.4966520055143,12,220,3559,4480,2021-06-22 12:20:16,5311768.1784588685,642236.5733249648,1,384.0,1921.0
16,312,446.63586821867176,623.8409597005564,58,220,3776,4736,2021-06-22 12:24:32,5317615.753286409,645188.1005237128,1,0.0,2151.0
17,311,446.52214153794495,624.0625209872397,24,220,3995,4992,2021-06-22 12:28:48,5317538.737395963,645347.944556939,1,256.0,2151.0
18,310,448.05078116618273,630.3563308733828,103,220,4208,5376,2021-06-22 12:35:12,5318742.153389742,649802.1982497952,1,640.0,2151.0
19,288,450.873312798988,632.9139650592483,189,220,4404,5632,2021-06-22 12:39:28,5320799.8454118,651570.4406661539,1,896.0,2151.0
20,272,454.86772305757046,634.8765309331859,194,220,4590,5888,2021-06-22 12:43:44,5323679.488959263,652891.7271761494,1,1152.0,2151.0
21,273,457.5045890782729,639.2871209339241,245,220,4776,6272,2021-06-22 12:50:08,5325639.837564812,655978.7910211396,1,1536.0,2151.0
22,277,454.8539617226821,642.4148932785554,215,220,4968,6528,2021-06-22 12:54:24,5323815.095257615,658255.4512544401,1,1792.0,2151.0
23,279,458.166892410356,645.9173861102316,322,220,5161,6784,2021-06-22 12:58:40,5326241.193677176,660681.3988016004,1,2048.0,2151.0
24,290,454.69743065374456,652.5651257089705,188,220,5367,7168,2021-06-22 13:05:04,5323907.435437096,665480.3518266339,1,2432.0,2151.0
25,280,460.6220642455246,654.8961974507047,290,220,5569,7424,2021-06-22 13:09:20,5328169.607589483,667016.0836730592,1,2688.0,2151.0
26,266,460.2443910418236,660.0598097798187,334,220,5756,7680,2021-06-22 13:13:36,5328009.253309795,670695.2328375262,1,2944.0,2151.0
27,285,463.50530269669736,663.9279699850772,461,220,5958,8064,2021-06-22 13:20:00,5330410.04011347,673375.3332551541,1,3328.0,2151.0
28,290,464.4616807297274,669.8995156941536,405,220,6161,8320,2021-06-22 13:24:16,5331219.647014033,677598.2608459481,1,3584.0,2151.0
29,313,466.2173415291279,673.4905791242737,478,220,6383,8704,2021-06-22 13:30:40,5332546.8542744275,680110.9079039855,1,3968.0,2151.0
30,322,467.4182148600813,677.9382127084116,489,220,6607,8960,2021-06-22 13:34:56,5333500.445478013,683243.4637536197,1,4224.0,2151.0
31,306,468.9520717647142,681.6775525760129,719,220,6812,9216,2021-06-22 13:39:12,5334675.604311546,685864.2709865657,1,4480.0,2151.0
32,291,471.09107815863786,685.8684931065904,744,220,7007,9600,2021-06-22 13:45:36,5336292.058374219,688790.602003914,1,4864.0,2151.0
33,285,474.8476701473816,689.6765523564361,797,220,7205,9856,2021-06-22 13:49:52,5339048.84333713,691405.0883458641,1,5120.0,2151.0
34,287,479.0528032346084,693.4488008543633,800,220,7412,10112,2021-06-22 13:54:08,5342123.110665631,693980.8252009976,1,5376.0,2151.0
35,271,480.005725192701,698.9934357050432,1035,220,7603,10496,2021-06-22 14:00:32,5342934.04346036,697890.2808098248,1,5760.0,2151.0
