frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
120,54,847.28379275413,538.4676074075049,37,260,16476,36096,2021-06-04 11:05:36,50.498969777052274,10.131107537991078,10,0.0,4585.0
121,135,855.9230692651164,542.998425810486,24,250,16673,36352,2021-06-04 11:09:52,50.55155294600625,10.174365273274207,10,256.0,4585.0
122,120,855.4152174593935,543.0432666979387,70,250,16815,36608,2021-06-04 11:14:08,50.5484629510793,10.174793379700722,10,512.0,4585.0
123,179,855.9989476451143,547.7496808639438,28,240,16987,36992,2021-06-04 11:20:32,50.552014623618916,10.219727568749372,10,896.0,4585.0
124,194,855.7139368258897,548.0613143795937,40,240,17157,37248,2021-06-04 11:24:48,50.55028049178045,10.22270280671512,10,1152.0,4585.0
125,182,855.7078654786413,552.4751543607838,24,240,17312,37504,2021-06-04 11:29:04,50.55024355101941,10.264843221149604,10,1408.0,4585.0
126,192,850.0284179831344,549.5602359975696,75,240,17476,37888,2021-06-04 11:35:28,50.51567976036485,10.23701336152236,10,1792.0,4585.0
127,193,856.3328055771372,557.1707473279718,19,240,17637,38144,2021-06-04 11:39:44,50.55404469333632,10.309673807380346,10,2048.0,4585.0
128,188,847.2609785043346,552.496508951365,32,240,17789,38400,2021-06-04 11:44:00,50.49883087804,10.265047118779245,10,2304.0,4585.0
129,209,847.1185945849721,555.4023165910538,60,240,17969,38784,2021-06-04 11:50:24,50.49796400816962,10.29279002322487,10,2688.0,4585.0
130,212,847.0032740097531,557.2128482422307,35,240,18151,39040,2021-06-04 11:54:40,50.497261906889214,10.310075794793333,10,2944.0,4585.0
131,213,847.0215340743085,561.6353548508789,38,240,18332,39296,2021-06-04 11:58:56,50.49737307885207,10.352299249088428,10,3200.0,4585.0
132,218,847.1675056255483,562.0777090120732,44,240,18522,39680,2021-06-04 12:05:20,50.49826179114675,10.356522581700208,10,3584.0,4585.0
133,213,847.2198956174883,565.4680897114216,83,240,18703,39936,2021-06-04 12:09:36,50.498580754873316,10.388892217732469,10,3840.0,4585.0
134,216,847.1569079802827,567.392810672103,67,240,18888,40192,2021-06-04 12:13:52,50.49819726996052,10.407268352936835,10,4096.0,4585.0
135,202,847.1880924277967,571.4004700709678,32,240,19057,40576,2021-06-04 12:20:16,50.49838712888627,10.44553099239393,10,4480.0,4585.0
136,214,847.0771649102848,571.9718974809119,56,240,19245,40832,2021-06-04 12:24:32,50.49771177366949,10.450986543351563,10,4736.0,4585.0
137,215,847.2666962212393,575.9247036050543,33,240,19441,41088,2021-06-04 12:28:48,50.49886568896903,10.488725860395622,10,4992.0,4585.0
138,147,847.3793563345232,578.2938389638917,98,250,19584,41472,2021-06-04 12:35:12,50.49955159267387,10.511344829279407,10,5376.0,4585.0
139,147,847.4722374485095,580.9049563358941,115,250,19773,41728,2021-06-04 12:39:28,50.500117076751025,10.536274450186383,10,5632.0,4585.0
140,153,847.5341461896459,583.9452998070561,100,250,19968,41984,2021-06-04 12:43:44,50.50049399306745,10.565302220981833,10,5888.0,4585.0
141,151,847.674188922706,588.3753558227277,74,250,20160,42368,2021-06-04 12:50:08,50.50134660919433,10.607597410676146,10,6272.0,4585.0
142,149,847.7429745948588,591.1106714967389,78,250,20354,42624,2021-06-04 12:54:24,50.50176539403303,10.633712704042294,10,6528.0,4585.0
143,163,847.8072267064816,594.3722722608062,76,250,20552,42880,2021-06-04 12:58:40,50.50215657739084,10.6648529220609,10,6784.0,4585.0
144,154,847.8491014893693,596.186847320268,66,250,20744,43264,2021-06-04 13:05:04,50.50241152182401,10.682177094004825,10,7168.0,4585.0
145,82,847.8276808426031,599.3164351325852,125,260,20895,43520,2021-06-04 13:09:20,50.502281107424906,10.712056301639025,10,7424.0,4585.0
146,91,847.3801100231958,602.400318675938,138,260,21115,43776,2021-06-04 13:13:36,50.49955618132408,10.74149951006395,10,7680.0,4585.0
147,68,843.7948445275933,605.5672929931519,112,260,21313,44160,2021-06-04 13:20:00,50.47771593746401,10.771736307291453,10,8064.0,4585.0
148,67,842.8526422333161,608.546243689788,128,260,21507,44416,2021-06-04 13:24:16,50.47197597368853,10.800177045420138,10,8320.0,4585.0
149,67,841.0796970949079,612.4650899410854,129,260,21700,44672,2021-06-04 13:28:32,50.461171554403926,10.837592139625745,10,8576.0,4585.0
150,74,839.3066516463814,614.2240779921226,91,260,21903,45056,2021-06-04 13:34:56,50.450363271068255,10.854385823113567,10,8960.0,4585.0
151,66,839.0505794691564,618.1270537089997,64,260,22092,45312,2021-06-04 13:39:12,50.44880228420911,10.891649183922572,10,9216.0,4585.0
