frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
33,81,353.5282343156351,361.0573195841022,45,250,4067,9984,2021-06-04 03:50:24,47.395173912438445,8.437297655445525,2,0.0,1310.0
34,91,355.00816727402855,362.38284384470455,68,250,4211,10240,2021-06-04 03:54:40,47.40476942519598,8.449952745179498,2,256.0,1310.0
35,80,365.0857107569335,361.9168431915477,281,250,4341,10496,2021-06-04 03:58:56,47.47005253278548,8.445503728094657,2,512.0,1310.0
36,90,365.2321693198919,362.8778515253259,367,250,4480,10880,2021-06-04 04:05:20,47.47100063833563,8.454678699131048,2,896.0,1310.0
37,94,367.23633698833964,363.2112096982342,369,250,4626,11136,2021-06-04 04:09:36,47.48397379887476,8.45786134747412,2,1152.0,1310.0
38,97,378.89299100126783,373.04613407361046,1097,250,4777,11392,2021-06-04 04:13:52,47.55936327650508,8.55175957509128,2,0.0,1513.0
39,94,379.0284217933536,374.3206908127353,1229,250,4937,11776,2021-06-04 04:20:16,47.560238443443076,8.563928065992634,2,384.0,1513.0
40,95,378.15596887026066,375.1298195753012,1056,250,5099,12032,2021-06-04 04:24:32,47.55460056787957,8.571653131091992,2,640.0,1513.0
41,84,379.5339937639643,377.1578751493889,940,250,5242,12288,2021-06-04 04:28:48,47.56350549864256,8.591016281242878,2,896.0,1513.0
42,95,380.80436315935174,377.95595267434015,865,250,5408,12672,2021-06-04 04:35:12,47.57171474911477,8.598635713789767,2,1280.0,1513.0
43,97,391.4392073075155,380.36554830035885,62,250,5569,12928,2021-06-04 04:39:28,47.64038734267047,8.621641034682458,2,1536.0,1513.0
43,95,379.48670865984536,364.37138338281545,501,250,5567,12928,2021-06-04 04:39:28,47.56319993770515,8.46893815081477,2,0.0,1720.0
44,97,388.69436057495966,362.74917638303685,479,250,5716,13184,2021-06-04 04:43:44,47.62267249333508,8.453450207491477,2,256.0,1720.0
