frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
16,19,906.0122929424917,919.9894391436043,45,260,2241,4736,2021-06-21 15:23:44,50.85526078916111,13.77365520025885,3,0.0,1411.0
17,26,912.3530593881798,922.0658375065317,172,260,2390,5120,2021-06-21 15:30:08,50.8935681913456,13.793480014112367,3,384.0,1411.0
18,73,916.6605745759298,923.0749180918901,145,250,2565,5376,2021-06-21 15:34:24,50.919571033398135,13.803113942163383,3,640.0,1411.0
19,124,924.0097065321852,926.0216432522495,45,240,2740,5632,2021-06-21 15:38:40,50.96390283976511,13.831247015569945,3,896.0,1411.0
20,114,933.0423527159641,930.2467600592983,74,240,2864,6016,2021-06-21 15:45:04,51.01833295798686,13.871586146310458,3,,
21,127,942.4270805056188,934.376430841348,65,240,2998,6272,2021-06-21 15:49:20,51.074817958362026,13.911014031555876,3,0.0,1866.0
22,126,942.9065087353886,937.0203506483222,43,240,3130,6656,2021-06-21 15:55:44,51.07770026308812,13.936256170931818,3,384.0,1866.0
23,177,924.753062227431,945.0261786629943,47,230,3297,6912,2021-06-21 16:00:00,50.96838604500415,14.012691568942294,3,256.0,1946.0
24,171,933.7295798300867,946.9630394141269,85,230,3427,7168,2021-06-21 16:04:16,51.022472406584576,14.031183230948281,3,0.0,2117.0
25,183,935.8104584486978,950.6259720947953,205,230,3574,7424,2021-06-21 16:08:32,51.03500257068822,14.066155058518406,3,256.0,2117.0
26,184,938.3724073418608,953.8139546094624,256,230,3717,7808,2021-06-21 16:14:56,51.050423760902845,14.096592248487413,3,640.0,2117.0
27,182,941.3990151213935,956.0138455893286,426,230,3866,8064,2021-06-21 16:19:12,51.068634974847555,14.117595298952835,3,896.0,2117.0
28,172,945.566895195105,958.429856065609,508,230,4009,8448,2021-06-21 16:25:36,51.093700384989475,14.140661925248029,3,1280.0,2117.0
29,169,948.5484526459383,962.0673895880196,392,230,4149,8704,2021-06-21 16:29:52,51.1116232352066,14.175390851178802,3,1536.0,2117.0
30,172,950.1810709797127,965.5667982736683,475,230,4283,8960,2021-06-21 16:34:08,51.12143397061557,14.208801476972287,3,1792.0,2117.0
31,161,952.4020234043182,968.9826026033049,468,230,4406,9344,2021-06-21 16:40:32,51.134777781913,14.24141389585904,3,2176.0,2117.0
32,173,956.8202402639868,972.6231726585263,366,230,4545,9600,2021-06-21 16:44:48,51.161312325193464,14.276171285137659,3,2432.0,2117.0
33,173,960.2805722133673,976.3956520255683,328,230,4680,9856,2021-06-21 16:49:04,51.18208061253215,14.312188980510678,3,2688.0,2117.0
34,179,964.857562829694,978.986364205107,351,230,4821,10240,2021-06-21 16:55:28,51.209541116070206,14.336923114831281,3,3072.0,2117.0
35,188,970.8294774208955,982.4744078817499,412,230,4970,10496,2021-06-21 16:59:44,51.245342670548354,14.370225236229132,3,3328.0,2117.0
36,186,971.1988317164261,984.9642699889496,140,230,5119,10752,2021-06-21 17:04:00,51.247555411509666,14.393997450951922,3,3584.0,2117.0
37,197,962.4504210462326,986.4251206400945,33,230,5275,11136,2021-06-21 17:10:24,51.19510083124437,14.407944567420946,3,3968.0,2117.0
