frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
16,19,906.0122929424916,919.9894391436044,45,260,2241,4736,2021-06-21 15:23:44,5634446.022287703,834679.0498637785,3,0.0,1411.0
17,26,912.3530593881798,922.0658375065316,172,260,2390,5120,2021-06-21 15:30:08,5638682.68770588,836144.0044062645,3,384.0,1411.0
18,73,916.6605745759298,923.07491809189,145,250,2565,5376,2021-06-21 15:34:24,5641563.098527955,836868.4135779464,3,640.0,1411.0
19,124,924.0097065321852,926.0216432522496,45,240,2740,5632,2021-06-21 15:38:40,5646461.010212017,838923.918888302,3,896.0,1411.0
20,114,933.042352715964,930.2467600592984,74,240,2864,6016,2021-06-21 15:45:04,5652469.479432152,841849.2165313794,3,,
21,127,942.4270805056188,934.376430841348,65,240,2998,6272,2021-06-21 15:49:20,5658709.035535593,844707.5071272748,3,0.0,1866.0
22,126,942.9065087353886,937.0203506483222,43,240,3130,6656,2021-06-21 15:55:44,5659003.7044028435,846480.4524432993,3,384.0,1866.0
23,177,924.753062227431,945.0261786629944,47,230,3297,6912,2021-06-21 16:00:00,5646773.3091658475,851671.8954424425,3,256.0,1946.0
24,171,933.7295798300868,946.9630394141268,85,230,3427,7168,2021-06-21 16:04:16,5652770.515615139,853049.3273381374,3,0.0,2117.0
25,183,935.8104584486978,950.6259720947952,205,230,3574,7424,2021-06-21 16:08:32,5654132.223891277,855519.6883919924,3,256.0,2117.0
26,184,938.3724073418608,953.8139546094624,256,230,3717,7808,2021-06-21 16:14:56,5655820.480297619,857674.817016941,3,640.0,2117.0
27,182,941.3990151213936,956.0138455893286,426,230,3866,8064,2021-06-21 16:19:12,5657827.763165556,859171.2178253664,3,896.0,2117.0
28,172,945.566895195105,958.429856065609,508,230,4009,8448,2021-06-21 16:25:36,5660595.994269134,860819.8940439951,3,1280.0,2117.0
29,169,948.5484526459384,962.0673895880196,392,230,4149,8704,2021-06-21 16:29:52,5662561.262301219,863274.1681079383,3,1536.0,2117.0
30,172,950.1810709797128,965.5667982736684,475,230,4283,8960,2021-06-21 16:34:08,5663626.582673742,865624.6277175727,3,1792.0,2117.0
31,161,952.4020234043182,968.9826026033048,468,230,4406,9344,2021-06-21 16:40:32,5665086.43871834,867922.3020291768,3,2176.0,2117.0
32,173,956.8202402639868,972.6231726585264,366,230,4545,9600,2021-06-21 16:44:48,5668012.709332745,870383.1305833496,3,2432.0,2117.0
33,173,960.2805722133672,976.3956520255684,328,230,4680,9856,2021-06-21 16:49:04,5670298.086693128,872923.2631671715,3,2688.0,2117.0
34,179,964.857562829694,978.986364205107,351,230,4821,10240,2021-06-21 16:55:28,5673335.978071392,874679.5621559143,3,3072.0,2117.0
35,188,970.8294774208956,982.47440788175,412,230,4970,10496,2021-06-21 16:59:44,5677296.89289729,877039.9055033072,3,3328.0,2117.0
36,186,971.198831716426,984.9642699889496,140,230,5119,10752,2021-06-21 17:04:00,5677529.010859776,878701.1886665504,3,3584.0,2117.0
37,197,962.4504210462326,986.4251206400944,33,230,5275,11136,2021-06-21 17:10:24,5671687.77099875,879627.6315718549,3,3968.0,2117.0
