cell,timestr,velocity
1,2021-06-08 08:08:32,2.2476522294367127
1,2021-06-08 08:14:56,1.1583621656550929
1,2021-06-08 08:19:12,2.0337689260328218
1,2021-06-08 08:25:36,0.6507599538038907
1,2021-06-08 08:29:52,0.4817064462808646
1,2021-06-08 08:34:08,1.4881967284341904
1,2021-06-08 08:40:32,2.4047433155608715
1,2021-06-08 08:44:48,12.70210453806135
1,2021-06-08 08:49:04,12.048038648778803
1,2021-06-08 08:55:28,14.741840312052592
1,2021-06-08 08:59:44,3.817071174488035
1,2021-06-08 09:04:00,4.849242080842606
1,2021-06-08 09:10:24,4.5180970872908945
1,2021-06-08 09:14:40,4.026114983540204
1,2021-06-08 09:18:56,4.328324629187165
1,2021-06-08 09:25:20,3.5892372098639886
1,2021-06-08 09:29:36,1.289798906437782
1,2021-06-08 09:33:52,1.8624154629702558
1,2021-06-08 09:40:16,3.0061967080224616
1,2021-06-08 09:44:32,3.026971225265271
1,2021-06-08 09:48:48,3.2679057170668395
1,2021-06-08 09:55:12,1.4215749350651927
1,2021-06-08 09:59:28,3.118033501834638
1,2021-06-08 10:03:44,3.021687024439124
1,2021-06-08 10:10:08,1.8852626731982236
1,2021-06-08 10:14:24,1.91710950189088
1,2021-06-08 10:18:40,1.3577025623290255
1,2021-06-08 10:25:04,1.7200844007784375
1,2021-06-08 10:29:20,6.103834983745737
1,2021-06-08 10:33:36,11.009274163631892
2,2021-06-08 08:08:32,7.838538577867868
3,2021-06-08 08:08:32,1.1853479175596169
3,2021-06-08 08:14:56,4.797242715976036
3,2021-06-08 08:19:12,3.9495629406157606
3,2021-06-08 08:25:36,3.4860056291557497
3,2021-06-08 08:29:52,4.276631213644377
3,2021-06-08 08:34:08,5.713100337774934
3,2021-06-08 08:40:32,4.481701845016133
3,2021-06-08 08:44:48,4.022336576678206
3,2021-06-08 08:49:04,3.883680468473311
3,2021-06-08 08:55:28,2.688891281069975
3,2021-06-08 08:59:44,3.791390759323098
3,2021-06-08 09:04:00,1.505458939876615
3,2021-06-08 09:10:24,2.470554363812309
3,2021-06-08 09:14:40,2.2591497322726517
3,2021-06-08 09:18:56,2.219668698096439
3,2021-06-08 09:25:20,2.9214520731409546
3,2021-06-08 09:29:36,2.348090269009301
3,2021-06-08 09:33:52,1.3464447593878337
3,2021-06-08 09:40:16,2.003511400280121
3,2021-06-08 09:44:32,3.448250403268753
3,2021-06-08 09:48:48,1.6891477582384515
3,2021-06-08 09:55:12,1.8462268314376755
3,2021-06-08 09:59:28,1.9412650674091405
3,2021-06-08 10:03:44,5.429644199732957
3,2021-06-08 10:10:08,3.08069637476973
3,2021-06-08 10:14:24,1.9307364296413168
3,2021-06-08 10:18:40,2.762838617374226
3,2021-06-08 10:25:04,4.710893153187201
3,2021-06-08 10:29:20,3.1647378806862143
3,2021-06-08 10:33:36,5.261176674321955
3,2021-06-08 10:40:00,8.832872594988844
3,2021-06-08 10:44:16,3.171373851708801
3,2021-06-08 10:48:32,1.885657065849474
3,2021-06-08 10:54:56,2.784461602645166
3,2021-06-08 10:59:12,1.9824737824476952
3,2021-06-08 11:05:36,3.456253652579087
3,2021-06-08 11:09:52,1.6765457668278114
3,2021-06-08 11:14:08,3.916445863752122
3,2021-06-08 11:20:32,3.041282075086279
3,2021-06-08 11:24:48,2.4906907102258153
3,2021-06-08 11:29:04,4.159347740129923
3,2021-06-08 11:35:28,5.807899574104142
3,2021-06-08 11:39:44,7.442215466639458
4,2021-06-08 08:08:32,9.398827790698684
5,2021-06-08 08:08:32,6.4654170619480205
5,2021-06-08 08:14:56,5.846363016504143
5,2021-06-08 08:19:12,5.833483737062509
6,2021-06-08 08:08:32,2.767562275011758
6,2021-06-08 08:14:56,2.4903297028390714
6,2021-06-08 08:19:12,1.3013316182103623
6,2021-06-08 08:25:36,4.4314118976131756
6,2021-06-08 08:29:52,13.434245602275615
6,2021-06-08 08:34:08,6.70211604893784
7,2021-06-08 08:08:32,1.8735303241825163
7,2021-06-08 08:14:56,9.002202868992848
7,2021-06-08 08:19:12,0.2022061080511379
7,2021-06-08 08:25:36,2.5540377027573196
7,2021-06-08 08:29:52,3.24552783740296
7,2021-06-08 08:34:08,4.607542453080339
7,2021-06-08 08:40:32,8.006996863281437
7,2021-06-08 08:44:48,2.4155028945939736
7,2021-06-08 08:49:04,4.846969786451025
7,2021-06-08 08:55:28,13.680047171866123
9,2021-06-08 08:08:32,2.8221110588612555
9,2021-06-08 08:14:56,3.5524047372054293
9,2021-06-08 08:19:12,2.2783882489166576
9,2021-06-08 08:25:36,11.939330210339477
9,2021-06-08 08:29:52,6.188025851364043
9,2021-06-08 08:34:08,2.9288961959619013
10,2021-06-08 08:08:32,2.2944417394145358
10,2021-06-08 08:14:56,2.9702548612570565
10,2021-06-08 08:19:12,5.2808841530661885
10,2021-06-08 08:25:36,1.9349483171772481
10,2021-06-08 08:29:52,4.686845715772093
10,2021-06-08 08:34:08,5.329695157361972
10,2021-06-08 08:40:32,4.152845667353352
10,2021-06-08 08:44:48,3.424897156723523
11,2021-06-08 08:08:32,2.2482905522408427
12,2021-06-08 08:08:32,1.3196302751723172
12,2021-06-08 08:14:56,2.2523540604132775
12,2021-06-08 08:19:12,0.3558213894499755
12,2021-06-08 08:25:36,1.7169690819145085
12,2021-06-08 08:29:52,1.5122157131254532
13,2021-06-08 08:08:32,2.6284240808464925
13,2021-06-08 08:14:56,4.236238348323358
13,2021-06-08 08:19:12,1.3702873282207573
13,2021-06-08 08:25:36,0.9149268987020209
13,2021-06-08 08:29:52,4.607899964550752
13,2021-06-08 08:34:08,3.777136017797584
14,2021-06-08 08:08:32,3.832463653318711
17,2021-06-08 08:08:32,1.9761852820051775
18,2021-06-08 08:08:32,7.404346910788877
22,2021-06-08 08:08:32,9.42752828142167
22,2021-06-08 08:14:56,8.580393986351515
22,2021-06-08 08:19:12,5.077682736819196
24,2021-06-08 08:08:32,1.3546129273496037
24,2021-06-08 08:14:56,2.088503439876643
24,2021-06-08 08:19:12,1.8215182673037327
24,2021-06-08 08:25:36,0.9889788572908255
24,2021-06-08 08:29:52,1.5220625750347685
24,2021-06-08 08:34:08,1.7813839430854588
24,2021-06-08 08:40:32,9.708292370128628
24,2021-06-08 08:44:48,2.226845796102267
24,2021-06-08 08:49:04,2.9300435730328553
24,2021-06-08 08:55:28,2.2486639313521604
24,2021-06-08 08:59:44,3.27784063436372
24,2021-06-08 09:04:00,1.5135876262033692
24,2021-06-08 09:10:24,1.1627731836165192
24,2021-06-08 09:14:40,4.1517235684299125
25,2021-06-08 08:08:32,0.7775519614898443
25,2021-06-08 08:14:56,2.162859739409608
25,2021-06-08 08:19:12,3.361546626779018
25,2021-06-08 08:25:36,5.562510580346775
25,2021-06-08 08:29:52,3.253217778093264
25,2021-06-08 08:34:08,4.068512358018898
25,2021-06-08 08:40:32,5.745548956157375
25,2021-06-08 08:44:48,5.205113346231899
26,2021-06-08 08:08:32,1.3246985855811988
26,2021-06-08 08:14:56,2.397906456177752
31,2021-06-08 08:08:32,8.184618228520254
31,2021-06-08 08:14:56,2.3622428001824183
33,2021-06-08 08:08:32,5.361437429908091
33,2021-06-08 08:14:56,4.032657562393899
34,2021-06-08 08:08:32,9.842934359067248
34,2021-06-08 08:14:56,3.1951643907193596
34,2021-06-08 08:19:12,2.133374868656088
35,2021-06-08 08:08:32,8.982629532882207
35,2021-06-08 08:14:56,3.481296132408929
35,2021-06-08 08:19:12,6.1904041392110045
36,2021-06-08 08:08:32,13.06721193360271
36,2021-06-08 08:14:56,2.3931995174096787
36,2021-06-08 08:19:12,2.285267800237009
37,2021-06-08 08:08:32,0.16517598947858297
37,2021-06-08 08:14:56,0.3330085186366377
38,2021-06-08 08:08:32,0.6536347727183303
39,2021-06-08 08:08:32,2.924432377151558
39,2021-06-08 08:14:56,3.10473276447105
39,2021-06-08 08:19:12,2.456460631622707
40,2021-06-08 08:08:32,1.028919230014335
40,2021-06-08 08:14:56,4.881958847963679
40,2021-06-08 08:19:12,3.1657801507843515
40,2021-06-08 08:25:36,4.8827652836457816
40,2021-06-08 08:29:52,11.024283265565211
42,2021-06-08 08:08:32,3.6905148588923318
43,2021-06-08 08:08:32,6.603594921404049
43,2021-06-08 08:14:56,0.683935986126851
43,2021-06-08 08:19:12,9.198252022557927
45,2021-06-08 08:08:32,1.6772997864172683
45,2021-06-08 08:14:56,0.4410743611768068
45,2021-06-08 08:19:12,0.3981171444601067
45,2021-06-08 08:25:36,5.5123598828348745
45,2021-06-08 08:29:52,2.2848478961443717
45,2021-06-08 08:34:08,16.02507438643901
45,2021-06-08 08:40:32,0.04691195474525308
45,2021-06-08 08:44:48,3.0602064653786054
45,2021-06-08 08:49:04,2.6179459250177755
47,2021-06-08 08:08:32,2.788604482659611
47,2021-06-08 08:14:56,2.609415785929519
47,2021-06-08 08:19:12,3.1656066054003174
47,2021-06-08 08:25:36,5.074169999214076
47,2021-06-08 08:29:52,7.533898457897127
