cellID,occ
1,10.0
3,70.0
5,60.0
6,30.0
8,5.0
9,30.0
10,10.0
11,10.0
12,10.0
16,5.0
19,30.0
23,20.0
24,25.0
26,15.0
28,25.0
29,70.0
32,75.0
33,5.0
36,10.0
37,5.0
38,5.0
39,10.0
40,5.0
42,5.0
43,5.0
46,5.0
48,10.0
50,10.0
51,15.0
53,65.0
54,10.0
58,5.0
59,5.0
60,10.0
61,10.0
62,20.0
63,60.0
66,5.0
67,5.0
68,15.0
71,30.0
72,60.0
73,10.0
74,20.0
75,40.0
80,10.0
81,10.0
83,20.0
85,5.0
87,10.0
89,30.0
91,5.0
92,10.0
93,5.0
95,5.0
97,70.0
99,10.0
100,5.0
101,10.0
105,30.0
106,5.0
110,5.0
112,10.0
113,5.0
114,5.0
115,5.0
116,15.0
117,5.0
119,10.0
121,25.0
125,20.0
126,80.0
127,20.0
128,25.0
129,5.0
130,5.0
131,5.0
132,70.0
133,35.0
135,5.0
136,20.0
137,50.0
144,100.0
147,10.0
149,10.0
152,10.0
153,5.0
154,5.0
157,50.0
158,5.0
159,30.0
161,150.0
162,5.0
163,40.0
164,15.0
166,20.0
167,45.0
168,10.0
170,65.0
172,5.0
173,25.0
175,5.0
176,5.0
177,40.0
178,45.0
179,20.0
181,5.0
182,10.0
185,10.0
187,10.0
191,55.0
192,5.0
193,30.0
195,5.0
197,25.0
198,15.0
199,5.0
201,90.0
202,55.0
207,100.0
208,25.0
211,5.0
212,5.0
213,5.0
214,15.0
215,10.0
216,5.0
217,10.0
218,35.0
221,35.0
223,10.0
226,80.0
227,5.0
228,10.0
229,85.0
230,5.0
231,70.0
232,20.0
233,20.0
234,40.0
235,15.0
236,5.0
237,30.0
238,10.0
240,70.0
243,20.0
247,10.0
248,40.0
249,90.0
250,15.0
251,70.0
252,360.0
253,10.0
254,85.0
255,5.0
257,5.0
258,15.0
259,415.0
260,75.0
262,30.0
263,40.0
267,60.0
268,15.0
269,35.0
270,15.0
271,55.0
272,20.0
273,20.0
274,5.0
275,5.0
276,15.0
277,5.0
278,5.0
279,25.0
280,25.0
281,5.0
282,5.0
283,10.0
285,5.0
286,15.0
290,5.0
293,5.0
294,15.0
295,20.0
296,10.0
300,25.0
301,15.0
302,5.0
303,5.0
305,35.0
311,20.0
312,10.0
314,5.0
315,25.0
316,5.0
317,10.0
318,5.0
319,35.0
320,10.0
321,5.0
326,5.0
327,5.0
334,30.0
335,35.0
337,50.0
340,15.0
342,65.0
343,5.0
344,25.0
346,5.0
347,50.0
349,15.0
350,15.0
351,10.0
352,5.0
353,5.0
354,20.0
355,5.0
357,5.0
358,5.0
362,10.0
367,10.0
368,35.0
369,5.0
370,35.0
371,5.0
372,5.0
373,55.0
374,25.0
378,90.0
386,10.0
388,30.0
391,10.0
398,5.0
401,10.0
403,70.0
409,15.0
410,5.0
414,30.0
420,25.0
424,5.0
425,5.0
426,10.0
427,15.0
431,5.0
433,20.0
436,5.0
437,5.0
438,40.0
439,5.0
440,5.0
441,10.0
442,5.0
443,20.0
449,15.0
451,60.0
452,15.0
454,10.0
455,5.0
460,10.0
462,10.0
463,10.0
466,10.0
467,5.0
470,15.0
472,5.0
473,50.0
476,40.0
477,5.0
478,35.0
480,15.0
481,10.0
483,10.0
484,5.0
497,5.0
503,5.0
504,45.0
506,15.0
510,5.0
512,25.0
516,30.0
518,30.0
519,10.0
522,10.0
524,10.0
525,5.0
527,10.0
532,40.0
533,10.0
537,20.0
538,20.0
542,5.0
544,10.0
548,20.0
550,10.0
551,10.0
554,5.0
555,45.0
557,40.0
558,10.0
561,5.0
562,5.0
563,10.0
572,5.0
574,5.0
575,20.0
576,10.0
577,10.0
578,5.0
581,10.0
582,10.0
587,5.0
590,65.0
596,5.0
603,5.0
606,25.0
607,25.0
608,5.0
609,5.0
610,15.0
611,50.0
616,15.0
617,100.0
619,5.0
620,50.0
624,20.0
625,10.0
626,25.0
627,5.0
629,10.0
633,5.0
634,20.0
635,20.0
636,5.0
638,10.0
639,100.0
641,30.0
643,15.0
645,10.0
648,55.0
650,10.0
654,10.0
658,5.0
660,20.0
661,30.0
664,15.0
670,15.0
671,30.0
673,50.0
675,10.0
679,5.0
681,5.0
688,10.0
692,5.0
696,10.0
697,5.0
698,5.0
699,10.0
702,15.0
703,35.0
706,10.0
708,35.0
712,15.0
714,5.0
716,10.0
724,20.0
726,15.0
728,5.0
733,5.0
735,15.0
736,5.0
739,35.0
740,5.0
742,5.0
743,50.0
745,20.0
748,5.0
751,15.0
753,10.0
754,5.0
758,15.0
759,45.0
760,15.0
761,15.0
762,10.0
764,5.0
769,45.0
770,20.0
771,15.0
772,5.0
773,5.0
778,30.0
788,5.0
789,10.0
791,25.0
792,5.0
794,15.0
798,10.0
799,15.0
800,15.0
803,20.0
805,5.0
806,10.0
811,10.0
813,15.0
814,5.0
816,5.0
817,25.0
819,10.0
822,15.0
827,10.0
828,50.0
831,5.0
833,15.0
834,5.0
836,15.0
839,15.0
840,5.0
843,5.0
844,5.0
846,20.0
850,10.0
854,30.0
855,15.0
858,5.0
860,5.0
861,5.0
862,5.0
864,5.0
867,10.0
868,5.0
873,5.0
874,5.0
875,20.0
876,20.0
879,10.0
880,15.0
882,5.0
886,5.0
888,15.0
889,5.0
893,5.0
898,15.0
904,80.0
906,10.0
912,5.0
914,5.0
916,15.0
917,30.0
919,5.0
922,5.0
923,10.0
927,10.0
928,15.0
937,10.0
938,10.0
939,20.0
941,10.0
943,20.0
946,15.0
949,10.0
950,5.0
951,5.0
953,15.0
954,5.0
955,5.0
957,5.0
959,5.0
960,40.0
961,25.0
963,5.0
966,5.0
967,20.0
969,5.0
971,25.0
972,75.0
975,25.0
977,35.0
982,5.0
984,5.0
992,5.0
993,5.0
994,10.0
995,5.0
997,5.0
1002,15.0
1007,15.0
1010,10.0
1012,15.0
1014,30.0
1015,55.0
1017,5.0
1021,10.0
1022,5.0
1023,10.0
1025,10.0
1026,35.0
1029,15.0
1033,10.0
1034,5.0
1036,5.0
1039,20.0
1040,10.0
1045,5.0
1046,35.0
1047,25.0
1051,35.0
1053,15.0
1055,25.0
1057,15.0
1060,5.0
1062,5.0
1067,15.0
1068,10.0
1070,5.0
1071,10.0
1072,10.0
1074,35.0
1075,5.0
1079,30.0
1080,25.0
1081,20.0
1084,5.0
1085,5.0
1089,5.0
1092,5.0
1095,5.0
1096,30.0
1102,5.0
1104,5.0
1108,5.0
1109,5.0
1113,5.0
1114,20.0
1116,25.0
1118,20.0
1119,10.0
1121,25.0
1122,15.0
1123,5.0
1124,5.0
1127,25.0
1130,10.0
1131,15.0
1132,5.0
1134,5.0
1137,5.0
1138,5.0
1140,10.0
1141,5.0
1144,10.0
1146,10.0
1148,5.0
1151,10.0
1152,10.0
1154,20.0
1157,5.0
1158,15.0
1160,10.0
1163,5.0
1166,15.0
1167,10.0
1169,5.0
1171,10.0
1174,5.0
1179,15.0
1180,15.0
1181,20.0
1182,10.0
1186,5.0
1187,5.0
1189,10.0
1191,5.0
1193,5.0
1194,25.0
1195,5.0
1196,35.0
1199,35.0
1203,5.0
1208,15.0
1214,5.0
1217,10.0
1218,10.0
1220,15.0
1224,5.0
1226,5.0
1228,10.0
1232,45.0
1235,5.0
1236,5.0
1237,10.0
1238,5.0
1239,35.0
1240,5.0
1242,5.0
1248,50.0
1249,30.0
1250,20.0
1251,20.0
1256,50.0
1257,5.0
1258,5.0
1259,5.0
1260,25.0
1262,5.0
1267,50.0
1270,5.0
1271,5.0
1272,40.0
1273,5.0
1274,10.0
1283,5.0
1285,10.0
1286,120.0
1287,15.0
1294,5.0
1295,55.0
1297,20.0
1298,10.0
1300,10.0
1302,10.0
1303,5.0
1305,10.0
1306,5.0
1307,10.0
1312,5.0
1314,10.0
1315,15.0
1318,35.0
1320,25.0
1322,5.0
1326,20.0
1327,55.0
1332,5.0
1334,5.0
1335,25.0
1338,5.0
1340,5.0
1341,20.0
1342,5.0
1344,5.0
1346,5.0
1348,20.0
1349,20.0
