timestr,cell,tgrad,wsshear,wdshear
2021-06-01 13:05:04,1,-0.10025097324573888,0.05844051739177873,-0.14470630260906386
2021-06-01 13:09:20,1,-0.10025097324573888,0.05844051739177873,-0.14470630260906386
2021-06-01 13:13:36,1,-0.10044654922147768,0.05128246317500561,-0.14048408548810837
2021-06-01 13:20:00,1,-0.10044654922147768,0.05128246317500561,-0.14048408548810837
2021-06-01 13:24:16,1,-0.10044654922147768,0.05128246317500561,-0.14048408548810837
2021-06-01 13:28:32,1,-0.10046283196137015,0.05746276840277477,-0.15696991182850523
2021-06-01 13:34:56,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 13:39:12,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 13:45:36,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 13:49:52,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 13:54:08,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 14:00:32,1,-0.10033752253203264,0.05866252350596199,-0.1490625021605365
2021-06-01 14:04:48,1,-0.10052548794197827,0.05018974581017957,-0.14404208617083794
2021-06-01 14:09:04,1,-0.10052548794197827,0.05018974581017957,-0.14404208617083794
2021-06-01 14:15:28,1,-0.10052548794197827,0.05018974581017957,-0.14404208617083794
2021-06-01 14:19:44,1,-0.10052548794197827,0.05018974581017957,-0.14404208617083794
2021-06-01 14:24:00,1,-0.10052548794197827,0.05018974581017957,-0.14404208617083794
2021-06-01 14:30:24,1,-0.10059540000848011,0.04914826729023352,0.043113346606229244
2021-06-02 10:59:12,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:05:36,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:09:52,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:14:08,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:20:32,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:24:48,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:29:04,1,-0.09640938278637103,0.0027070591175450674,0.18221451696885368
2021-06-02 11:35:28,1,-0.09723203563690186,0.00157224992735196,0.23933408632531633
2021-06-02 11:39:44,1,-0.09723203563690186,0.00157224992735196,0.23933408632531633
2021-06-02 11:44:00,1,-0.09723203563690186,0.00157224992735196,0.23933408632531633
2021-06-02 11:50:24,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 11:54:40,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 11:58:56,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:05:20,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:09:36,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:13:52,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:20:16,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:24:32,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:28:48,1,-0.09653327265882916,-0.0013379308059152252,0.22803837706979402
2021-06-02 12:35:12,1,-0.09917946931113185,-0.007759468449955493,0.24829835820831025
2021-06-02 12:39:28,1,-0.09917946931113185,-0.007759468449955493,0.24829835820831025
2021-06-02 12:43:44,1,-0.09917946931113185,-0.007759468449955493,0.24829835820831025
2021-06-02 12:50:08,1,-0.09917946931113185,-0.007759468449955493,0.24829835820831025
2021-06-02 12:54:24,1,-0.09917946931113185,-0.007759468449955493,0.24829835820831025
2021-06-02 12:58:40,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:05:04,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:09:20,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:13:36,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:20:00,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:24:16,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:28:32,1,-0.09818229925948961,-0.01143132377725787,0.17845666368872717
2021-06-02 13:34:56,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 13:39:12,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 13:45:36,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 13:49:52,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 13:54:08,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 14:00:32,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 14:04:48,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 14:09:04,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 14:15:28,1,-0.09802088620177411,-0.008823183211605103,0.18990147156841986
2021-06-02 14:19:44,1,-0.09760230115873622,-0.012635914017668868,0.1578468085094891
2021-06-02 14:24:00,1,-0.09760230115873622,-0.012635914017668868,0.1578468085094891
2021-06-02 14:30:24,1,-0.09731026407258701,-0.011027055588443723,0.20796610536828508
2021-06-02 14:34:40,1,-0.09731026407258701,-0.011027055588443723,0.20796610536828508
2021-06-02 14:38:56,1,-0.09731026407258701,-0.011027055588443723,0.20796610536828508
