timestr,cell,temperature,dewpoint,CAPE,winddir,windspeed,spread
2021-06-04 07:34:24,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 07:38:40,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 07:45:04,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 07:49:20,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 07:55:44,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:00:00,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:04:16,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:08:32,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:14:56,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:19:12,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:25:36,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 08:29:52,2,18.59000015258789,14.359999656677246,737.0,226.54815673828125,9.422101020812988,4.2300004959106445
2021-06-04 10:03:44,3,24.540000915527344,17.0,1076.0,197.52557373046875,7.172948837280273,7.540000915527344
2021-06-04 10:10:08,3,24.540000915527344,17.0,1076.0,197.52557373046875,7.172948837280273,7.540000915527344
2021-06-04 10:14:24,3,23.510000228881836,16.850000381469727,1709.0,200.55604553222656,3.0758414268493652,6.659999847412109
2021-06-04 10:18:40,3,23.510000228881836,16.850000381469727,1709.0,200.55604553222656,3.0758414268493652,6.659999847412109
2021-06-04 10:25:04,3,23.510000228881836,16.850000381469727,1709.0,200.55604553222656,3.0758414268493652,6.659999847412109
2021-06-04 10:29:20,3,23.510000228881836,16.850000381469727,1709.0,200.55604553222656,3.0758414268493652,6.659999847412109
2021-06-04 10:33:36,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 10:40:00,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 10:44:16,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 10:48:32,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 10:54:56,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 10:59:12,3,23.8700008392334,16.469999313354492,1658.0,193.3925018310547,7.771330833435059,7.400001525878906
2021-06-04 11:05:36,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
2021-06-04 11:09:52,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
2021-06-04 11:14:08,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
2021-06-04 11:20:32,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
