timestr,cell,temperature,dewpoint,CAPE,winddir,windspeed
2021-06-01 13:05:04,1,22.719999313354492,9.25,16.0,323.130126953125,9.0
2021-06-01 13:09:20,1,22.719999313354492,9.25,16.0,323.130126953125,9.0
2021-06-01 13:13:36,1,22.68000030517578,9.119999885559082,32.0,319.1849365234375,10.464797019958496
2021-06-02 10:59:12,1,22.65999984741211,9.960000038146973,0.0,125.53767395019531,6.193674087524414
2021-06-02 11:05:36,1,22.65999984741211,9.960000038146973,0.0,125.53767395019531,6.193674087524414
2021-06-02 11:09:52,1,22.65999984741211,9.960000038146973,0.0,125.53767395019531,6.193674087524414
2021-06-04 01:14:40,1,16.440000534057617,14.949999809265137,364.0,180.0,1.4399999380111694
2021-06-04 01:18:56,1,16.440000534057617,14.949999809265137,364.0,180.0,1.4399999380111694
2021-06-04 01:25:20,1,16.440000534057617,14.949999809265137,364.0,180.0,1.4399999380111694
2021-06-04 03:50:24,2,14.569999694824219,12.880000114440918,30.0,243.43495178222656,4.0249223709106445
2021-06-04 03:54:40,2,14.569999694824219,12.880000114440918,30.0,243.43495178222656,4.0249223709106445
2021-06-04 03:58:56,2,14.569999694824219,12.880000114440918,30.0,243.43495178222656,4.0249223709106445
2021-06-04 10:03:44,3,24.540000915527344,17.0,1076.0,197.52557373046875,7.172948837280273
2021-06-04 10:10:08,3,24.540000915527344,17.0,1076.0,197.52557373046875,7.172948837280273
2021-06-04 10:14:24,3,23.510000228881836,16.850000381469727,1709.0,200.55604553222656,3.0758414268493652
2021-06-04 08:49:04,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033
2021-06-04 08:55:28,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033
2021-06-04 08:59:44,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033
2021-06-04 10:03:44,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254
2021-06-04 10:10:08,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254
2021-06-04 10:14:24,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254
2021-06-04 13:05:04,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367
2021-06-04 13:09:20,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367
2021-06-04 13:13:36,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367
2021-06-04 13:28:32,5,14.130000114440918,10.949999809265137,698.0,319.08563232421875,7.145795822143555
2021-06-04 13:34:56,5,15.579999923706055,11.569999694824219,43.0,310.91436767578125,7.145795822143555
2021-06-04 13:39:12,5,15.579999923706055,11.569999694824219,43.0,310.91436767578125,7.145795822143555
2021-06-04 11:05:36,10,22.940000534057617,14.569999694824219,71.0,249.44395446777344,3.0758414268493652
2021-06-04 11:09:52,10,22.940000534057617,14.569999694824219,71.0,249.44395446777344,3.0758414268493652
2021-06-04 11:14:08,10,22.940000534057617,14.569999694824219,71.0,249.44395446777344,3.0758414268493652
2021-06-04 09:44:32,8,23.440000534057617,16.290000915527344,529.0,296.5650634765625,7.2448601722717285
2021-06-04 09:48:48,8,23.440000534057617,16.290000915527344,529.0,296.5650634765625,7.2448601722717285
2021-06-04 09:55:12,8,23.440000534057617,16.290000915527344,529.0,296.5650634765625,7.2448601722717285
2021-06-04 10:44:16,9,24.459999084472656,14.5,67.0,243.43495178222656,6.439876079559326
2021-06-04 10:48:32,9,24.459999084472656,14.5,67.0,243.43495178222656,6.439876079559326
2021-06-04 10:54:56,9,23.959999084472656,14.670000076293945,86.0,259.2156982421875,7.695919990539551
2021-06-05 09:18:56,1,21.139999389648438,15.09000015258789,1471.0,272.8623962402344,7.208993911743164
2021-06-05 09:25:20,1,21.530000686645508,15.010000228881836,1444.0,277.125,5.804825305938721
2021-06-05 09:29:36,1,21.1299991607666,15.720000267028809,1189.0,246.80140686035156,2.741678237915039
2021-06-05 08:40:32,2,20.8799991607666,9.710000038146973,287.0,266.8201904296875,6.489992141723633
2021-06-05 08:44:48,2,20.8799991607666,9.710000038146973,287.0,266.8201904296875,6.489992141723633
2021-06-05 08:49:04,2,20.8799991607666,9.710000038146973,287.0,266.8201904296875,6.489992141723633
2021-06-05 09:55:12,3,21.469999313354492,14.380000114440918,754.0,259.6951599121094,4.0249223709106445
2021-06-05 09:59:28,3,21.469999313354492,14.380000114440918,754.0,259.6951599121094,4.0249223709106445
2021-06-05 10:03:44,3,21.469999313354492,14.380000114440918,754.0,259.6951599121094,4.0249223709106445
2021-06-05 08:55:28,4,21.219999313354492,17.450000762939453,496.0,233.13009643554688,1.7999999523162842
2021-06-05 08:59:44,4,21.219999313354492,17.450000762939453,496.0,233.13009643554688,1.7999999523162842
2021-06-05 09:04:00,4,21.219999313354492,17.450000762939453,496.0,233.13009643554688,1.7999999523162842
2021-06-08 09:18:56,1,16.270000457763672,14.989999771118164,80.0,50.710601806640625,5.116561412811279
2021-06-08 09:25:20,1,16.270000457763672,14.989999771118164,80.0,50.710601806640625,5.116561412811279
2021-06-08 09:29:36,1,16.270000457763672,14.989999771118164,80.0,50.710601806640625,5.116561412811279
2021-06-08 09:25:20,2,21.8700008392334,9.829999923706055,159.0,65.22484588623047,5.154415130615234
2021-06-08 09:29:36,2,21.8700008392334,9.829999923706055,159.0,65.22484588623047,5.154415130615234
2021-06-08 09:33:52,2,22.940000534057617,11.760000228881836,841.0,356.4236755371094,5.771238803863525
