"frame","idx","hdim_1","hdim_2","num","threshold_value","feature","time","timestr","latitude","longitude","cell","time_cell"
0,11,500.033942526956,385.807857658318,371263,240,11,0,"2021-06-20 18:03:44",48.336416817007,8.6736014088393,NA,NA
1,7,506.096162640505,388.923519129308,373802,240,89,384,"2021-06-20 18:10:08",48.3749935269231,8.70334753990508,NA,NA
2,10,513.753497933991,391.655574107347,376082,240,164,640,"2021-06-20 18:14:24",48.4236806013414,8.72943206061234,NA,NA
3,8,521.316010008432,397.459989453859,383114,240,238,896,"2021-06-20 18:18:40",48.471717226616,8.78484912340411,NA,NA
4,7,527.579167853538,399.756265073458,384903,240,312,1280,"2021-06-20 18:25:04",48.5114637609117,8.80677220311202,NA,NA
5,9,533.411566616107,401.99508996929,387901,240,388,1536,"2021-06-20 18:29:20",48.5484505604399,8.82814773633245,NA,NA
6,9,560.322818552804,494.271232292566,461114,240,463,1792,"2021-06-20 18:33:36",48.7187598706186,9.70914609690969,NA,NA
7,5,565.605033436117,495.286241966645,466531,240,523,2176,"2021-06-20 18:40:00",48.7521222318145,9.71883732636269,NA,NA
8,5,570.606550669726,493.267671489038,473938,240,578,2432,"2021-06-20 18:44:16",48.7836884872731,9.69956460883786,NA,NA
9,6,573.526040872344,497.228825383599,475005,240,639,2816,"2021-06-20 18:50:40",48.802107031105,9.73738362399598,NA,NA
10,7,577.676657508398,499.328210588395,479220,240,708,3072,"2021-06-20 18:54:56",48.8282795519309,9.75742694492381,NA,NA
11,8,583.024457302537,515.164772357889,485833,240,777,3328,"2021-06-20 18:59:12",48.8619781626274,9.90862531742781,NA,NA
12,7,589.467877041014,517.527509996255,489044,240,847,3712,"2021-06-20 19:05:36",48.9025535473544,9.93118372208834,NA,NA
13,6,597.570868974982,518.702631930747,489717,240,915,3968,"2021-06-20 19:09:52",48.9535323794204,9.94240288568374,NA,NA
14,7,604.809034472781,521.848876118087,491927,240,980,4224,"2021-06-20 19:14:08",48.9990252677027,9.97244176751916,NA,NA
15,8,613.601058180228,524.992511639365,492746,240,1043,4608,"2021-06-20 19:20:32",49.0542287472018,10.002454790136,NA,NA
16,8,622.99011441783,518.648671711252,489948,240,1102,4864,"2021-06-20 19:24:48",49.1131124801197,9.94188771486411,NA,NA
17,9,637.089389775276,389.248730438807,376027,240,1168,5120,"2021-06-20 19:29:04",49.2014068574198,8.70645240824022,NA,NA
18,20,703.719275831679,404.455630785849,326032,240,1234,5504,"2021-06-20 19:35:28",49.6165181827633,8.85163909892763,NA,NA
19,21,712.237328792997,406.992539567959,320458,240,1299,5760,"2021-06-20 19:39:44",49.6693322065728,8.87586050620499,NA,NA
