frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
2,60,1000.9992654901375,1048.5652714731566,56,260,242,640,2021-06-02 10:59:12,51.425780682474425,15.001222546308298,1,0.0,137.0
3,60,1001.0357529523876,1047.7327945776851,72,260,349,1024,2021-06-02 11:05:36,51.425998509866666,14.993274694935995,1,384.0,137.0
4,61,1001.0027991366518,1047.426480507217,28,260,452,1280,2021-06-02 11:09:52,51.425801775546496,14.990350242955923,1,640.0,137.0
5,64,1004.4793374219716,1047.5556361491494,78,260,558,1536,2021-06-02 11:14:08,51.44655107012925,14.991583322037826,1,896.0,137.0
6,55,1003.8329540122459,1052.3762902545104,217,260,661,1920,2021-06-02 11:20:32,51.4426939889113,15.037607591655883,1,1280.0,137.0
7,56,1005.6851414980965,1049.1821207399873,327,260,775,2176,2021-06-02 11:24:48,51.45374512215814,15.007111750343336,1,1536.0,137.0
8,58,1009.8379467372288,1041.803100265874,660,260,896,2432,2021-06-02 11:29:04,51.478510706902654,14.936661376821451,1,1792.0,137.0
9,52,1010.657884081715,1040.6437653261726,906,260,995,2816,2021-06-02 11:35:28,51.48339947822464,14.925592169456781,1,2176.0,137.0
10,57,1011.608128645172,1040.290091314875,1229,260,1109,3072,2021-06-02 11:39:44,51.48906286981109,14.922215561059202,1,2432.0,137.0
11,56,1012.8792405392924,1040.689171226967,1344,260,1217,3328,2021-06-02 11:44:00,51.49664021668592,14.926025670197644,1,2688.0,137.0
12,64,1060.5737907310208,1029.9538272134314,5580,260,1342,3712,2021-06-02 11:50:24,51.77999314580744,14.82353092597357,1,0.0,410.0
13,67,1063.9974466673923,1027.9870303579578,5451,260,1466,3968,2021-06-02 11:54:40,51.8002664078819,14.80475345698692,1,256.0,410.0
14,62,1061.3555223619944,1028.048547858807,6028,260,1584,4224,2021-06-02 11:58:56,51.7846226739051,14.80534077893688,1,512.0,410.0
15,64,1063.2605163335825,1026.5889850649016,6081,260,1718,4608,2021-06-02 12:05:20,51.79590347804916,14.791405600042149,1,896.0,410.0
16,67,1065.0672226069923,1025.9657562066254,6150,260,1845,4864,2021-06-02 12:09:36,51.806599663785725,14.785454926857497,1,1152.0,410.0
17,71,1062.3869171674676,1025.0888642395748,6406,260,1981,5120,2021-06-02 12:13:52,51.79073141267361,14.777083034422287,1,1408.0,410.0
18,66,1065.0375461730403,1024.6710946900316,6174,260,2117,5504,2021-06-02 12:20:16,51.80642408033137,14.773094490949541,1,1792.0,410.0
