cellID,occ
1,30.0
2,5.0
3,25.0
4,40.0
5,5.0
8,20.0
10,5.0
12,15.0
13,5.0
16,5.0
17,5.0
18,5.0
19,5.0
21,10.0
22,30.0
24,65.0
25,10.0
26,15.0
28,10.0
33,5.0
37,5.0
38,40.0
39,10.0
40,30.0
41,30.0
42,70.0
46,30.0
47,95.0
49,10.0
50,10.0
51,80.0
52,125.0
53,70.0
54,40.0
55,5.0
62,15.0
64,20.0
66,5.0
67,25.0
70,15.0
72,40.0
73,20.0
74,20.0
75,15.0
76,35.0
78,5.0
79,15.0
81,30.0
82,5.0
84,5.0
85,40.0
87,70.0
89,150.0
90,10.0
92,45.0
96,45.0
97,85.0
98,5.0
99,15.0
100,65.0
102,20.0
104,5.0
106,70.0
108,5.0
109,15.0
110,20.0
111,5.0
113,40.0
114,5.0
115,15.0
116,95.0
118,80.0
119,5.0
123,5.0
124,140.0
127,10.0
128,5.0
131,5.0
132,5.0
133,60.0
135,20.0
136,10.0
137,10.0
138,45.0
139,30.0
141,50.0
142,15.0
143,15.0
144,20.0
149,90.0
151,135.0
152,5.0
153,50.0
154,95.0
155,5.0
156,20.0
157,20.0
158,70.0
159,15.0
160,25.0
161,70.0
163,15.0
164,45.0
165,5.0
166,5.0
168,5.0
169,15.0
170,50.0
173,5.0
174,5.0
176,10.0
178,5.0
179,5.0
180,25.0
181,20.0
182,10.0
183,25.0
184,60.0
185,5.0
186,5.0
187,50.0
188,60.0
189,25.0
190,20.0
191,5.0
192,20.0
193,115.0
194,5.0
195,60.0
196,10.0
197,15.0
198,10.0
199,15.0
200,20.0
201,5.0
202,25.0
203,60.0
204,5.0
205,15.0
206,10.0
207,25.0
208,50.0
210,10.0
211,5.0
212,10.0
213,175.0
215,60.0
216,15.0
217,105.0
219,5.0
222,15.0
223,10.0
224,15.0
225,10.0
227,40.0
229,10.0
232,5.0
235,20.0
236,5.0
240,50.0
241,5.0
242,15.0
245,55.0
247,5.0
248,10.0
251,5.0
257,90.0
258,5.0
260,25.0
264,15.0
265,55.0
268,90.0
269,20.0
270,15.0
274,10.0
275,105.0
278,20.0
280,15.0
281,5.0
282,5.0
283,35.0
285,35.0
286,5.0
293,20.0
294,5.0
296,25.0
297,15.0
298,10.0
302,20.0
304,5.0
305,5.0
309,50.0
310,5.0
313,5.0
316,20.0
317,95.0
319,50.0
320,100.0
323,60.0
324,50.0
326,25.0
327,25.0
328,10.0
330,5.0
331,20.0
332,5.0
334,15.0
335,5.0
336,35.0
337,5.0
339,10.0
340,20.0
343,5.0
344,10.0
345,5.0
347,5.0
349,10.0
350,5.0
351,10.0
355,10.0
361,5.0
363,10.0
367,5.0
368,15.0
369,5.0
370,215.0
372,10.0
373,15.0
375,5.0
380,25.0
381,5.0
383,5.0
388,55.0
389,5.0
393,110.0
397,10.0
398,60.0
399,10.0
401,5.0
403,5.0
404,10.0
405,10.0
408,45.0
409,15.0
411,60.0
412,75.0
413,25.0
414,5.0
415,25.0
417,80.0
418,25.0
419,45.0
421,5.0
422,15.0
429,20.0
430,5.0
432,10.0
433,10.0
434,60.0
435,10.0
436,40.0
437,30.0
440,20.0
441,110.0
442,10.0
443,20.0
444,35.0
445,10.0
447,5.0
448,20.0
450,20.0
451,20.0
452,5.0
454,5.0
457,5.0
458,75.0
459,15.0
460,5.0
461,10.0
463,10.0
464,5.0
466,15.0
467,25.0
468,30.0
469,5.0
470,5.0
471,40.0
472,40.0
473,15.0
474,5.0
477,15.0
478,15.0
480,5.0
481,5.0
482,25.0
483,40.0
485,40.0
488,65.0
489,50.0
493,55.0
496,10.0
498,10.0
499,15.0
500,10.0
502,5.0
503,5.0
505,5.0
506,5.0
507,30.0
509,5.0
514,10.0
515,5.0
516,10.0
517,10.0
518,25.0
519,15.0
520,100.0
521,10.0
522,5.0
523,15.0
525,15.0
526,5.0
527,15.0
530,5.0
531,95.0
533,5.0
537,10.0
539,10.0
543,10.0
544,5.0
545,40.0
547,5.0
548,5.0
549,30.0
550,25.0
551,35.0
552,10.0
553,10.0
557,75.0
560,45.0
561,20.0
562,15.0
563,70.0
564,5.0
565,10.0
567,25.0
568,5.0
569,15.0
570,15.0
573,10.0
574,5.0
575,10.0
576,5.0
577,5.0
578,45.0
580,15.0
581,5.0
582,5.0
583,50.0
584,5.0
586,35.0
587,5.0
588,30.0
589,10.0
598,45.0
600,15.0
602,5.0
604,15.0
605,5.0
606,10.0
607,15.0
608,20.0
613,5.0
614,5.0
616,25.0
618,10.0
619,5.0
620,35.0
621,5.0
626,15.0
628,5.0
630,5.0
631,25.0
633,5.0
634,5.0
637,30.0
639,10.0
641,5.0
642,30.0
644,5.0
645,40.0
648,20.0
649,5.0
651,25.0
653,10.0
654,15.0
658,5.0
659,10.0
661,5.0
666,5.0
667,130.0
672,10.0
675,5.0
676,5.0
678,10.0
679,5.0
680,45.0
681,5.0
685,145.0
686,65.0
688,20.0
