frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
0,62,1093.5424711898534,763.7829279326728,475,260,39,0,2021-06-01 13:05:04,5761726.245327033,734336.9620197923,1,0.0,39.0
1,62,1090.37983117904,767.6868401773229,679,260,249,256,2021-06-01 13:09:20,5759557.252356756,736820.0160041288,1,256.0,39.0
2,58,1088.8115528437104,775.633323755583,1205,260,456,512,2021-06-01 13:13:36,5758338.94851052,741995.2855830675,1,512.0,39.0
3,161,1091.001268127287,779.771558163877,28,250,739,896,2021-06-01 13:20:00,5759678.82596851,744760.8638829321,1,896.0,39.0
4,159,1090.9355308606148,784.9070930963686,50,250,950,1152,2021-06-01 13:24:16,5759518.0134728,748127.6004523463,1,1152.0,39.0
5,69,1074.5081769127162,777.5961150797668,1049,260,1101,1408,2021-06-01 13:28:32,5748899.9211772345,742949.1664665281,1,0.0,588.0
6,67,1069.6743052151712,778.8380500133435,1153,260,1296,1792,2021-06-01 13:34:56,5745692.5563463345,743653.0936543036,1,384.0,588.0
7,63,1069.954430208092,782.9795072647239,1370,260,1501,2048,2021-06-01 13:39:12,5745781.314786069,746383.3771583196,1,640.0,588.0
8,152,1052.7970418833788,778.2294115664802,41,250,1765,2432,2021-06-01 13:45:36,5734593.49076126,742859.3905335029,1,0.0,875.0
9,145,1052.573130538773,778.6869835931991,40,250,1976,2688,2021-06-01 13:49:52,5734435.239420484,743155.7853524005,1,256.0,875.0
10,145,1052.4717976760246,782.9837159851,50,250,2176,2944,2021-06-01 13:54:08,5734269.219158942,745985.8012850925,1,512.0,875.0
11,158,1043.3422057836767,782.916471591188,43,250,2385,3328,2021-06-01 14:00:32,5728248.60631896,745732.2214369185,1,0.0,1144.0
12,156,1063.847457082907,807.4844048577462,89,250,2601,3584,2021-06-01 14:04:48,5741227.986051109,762373.2624031838,1,0.0,1236.0
13,154,1057.6190036252078,804.5918171654392,406,250,2805,3840,2021-06-01 14:09:04,5737186.62481448,760338.2474714878,1,256.0,1236.0
14,169,1054.956982325201,804.7073391402691,511,250,3033,4224,2021-06-01 14:15:28,5735430.133335756,760358.3690994377,1,640.0,1236.0
15,163,1050.043731641255,804.6865268580186,814,250,3263,4480,2021-06-01 14:19:44,5732191.463949865,760241.303596688,1,896.0,1236.0
16,164,1046.9138907779336,804.7186282070949,722,250,3505,4736,2021-06-01 14:24:00,5730126.349194356,760196.6317275341,1,1152.0,1236.0
17,242,1052.759738362202,807.9308530582454,39,240,3830,5120,2021-06-01 14:30:24,5733914.411740535,762437.0924425325,1,1536.0,1236.0
