frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
0,62,1093.5424711898534,763.7829279326728,475,260,39,0,2021-06-01 13:05:04,51.97482170280271,12.282286540540683,1,0.0,39.0
1,62,1090.37983117904,767.6868401773229,679,260,249,256,2021-06-01 13:09:20,51.95616996384734,12.31955905629652,1,256.0,39.0
2,58,1088.8115528437104,775.633323755583,1205,260,456,512,2021-06-01 13:13:36,51.94691719320822,12.395426944844381,1,512.0,39.0
3,161,1091.001268127287,779.771558163877,28,250,739,896,2021-06-01 13:20:00,51.95983490674176,12.434936589029858,1,896.0,39.0
4,159,1090.9355308606148,784.9070930963686,50,250,950,1152,2021-06-01 13:24:16,51.95944721492962,12.483967694270845,1,1152.0,39.0
5,69,1074.5081769127162,777.5961150797668,1049,260,1101,1408,2021-06-01 13:28:32,51.862442649985496,12.414167125762507,1,0.0,588.0
6,67,1069.6743052151712,778.8380500133435,1153,260,1296,1792,2021-06-01 13:34:56,51.833857907824445,12.42602416866644,1,384.0,588.0
7,63,1069.954430208092,782.9795072647239,1370,260,1501,2048,2021-06-01 13:39:12,51.8355152940855,12.46556458208766,1,640.0,588.0
8,152,1052.7970418833788,778.2294115664802,41,250,1765,2432,2021-06-01 13:45:36,51.73391190752705,12.42021335524753,1,0.0,875.0
9,145,1052.573130538773,778.6869835931991,40,250,1976,2688,2021-06-01 13:49:52,51.73258455222036,12.424581902266995,1,256.0,875.0
10,145,1052.4717976760246,782.9837159851,50,250,2176,2944,2021-06-01 13:54:08,51.73198384700219,12.465604763724171,1,512.0,875.0
11,158,1043.3422057836767,782.916471591188,43,250,2385,3328,2021-06-01 14:00:32,51.67782391433487,12.464962765788444,1,0.0,1144.0
12,156,1063.8474570829073,807.4844048577462,89,250,2601,3584,2021-06-01 14:04:48,51.799378408022584,12.699522839961771,1,0.0,1236.0
13,154,1057.6190036252078,804.5918171654392,406,250,2805,3840,2021-06-01 14:09:04,51.76249051143626,12.67190616764375,1,256.0,1236.0
14,169,1054.9569823252007,804.7073391402691,511,250,3033,4224,2021-06-01 14:15:28,51.7467161198935,12.673009082921252,1,640.0,1236.0
15,163,1050.043731641255,804.6865268580186,814,250,3263,4480,2021-06-01 14:19:44,51.71758652764187,12.672810383201242,1,896.0,1236.0
16,164,1046.9138907779336,804.7186282070949,722,250,3505,4736,2021-06-01 14:24:00,51.69902076782107,12.673116862279155,1,1152.0,1236.0
17,242,1052.759738362202,807.9308530582454,39,240,3830,5120,2021-06-01 14:30:24,51.73369077077813,12.70378561098018,1,1536.0,1236.0
