cellID,occ
1,30.0
2,60.0
3,10.0
4,65.0
6,10.0
7,145.0
12,70.0
13,55.0
14,80.0
15,15.0
16,100.0
17,5.0
18,10.0
19,5.0
22,55.0
25,25.0
27,35.0
28,5.0
29,55.0
30,5.0
31,5.0
33,10.0
34,5.0
35,5.0
37,5.0
38,80.0
40,30.0
41,50.0
42,15.0
43,5.0
44,5.0
45,15.0
46,25.0
48,5.0
51,15.0
53,10.0
54,25.0
56,25.0
57,10.0
58,5.0
59,30.0
60,15.0
61,5.0
62,20.0
63,5.0
65,25.0
66,15.0
67,30.0
69,10.0
70,25.0
71,10.0
72,20.0
73,10.0
74,10.0
75,115.0
76,65.0
77,5.0
78,255.0
79,5.0
80,10.0
81,35.0
84,80.0
86,5.0
87,25.0
89,5.0
93,5.0
94,10.0
96,10.0
98,15.0
99,5.0
101,60.0
103,10.0
104,10.0
106,35.0
107,60.0
108,5.0
109,190.0
111,5.0
112,20.0
113,30.0
115,75.0
116,30.0
118,15.0
121,115.0
122,5.0
123,10.0
124,10.0
125,30.0
126,90.0
127,85.0
128,5.0
129,10.0
130,45.0
131,15.0
132,50.0
133,20.0
135,10.0
139,5.0
141,75.0
142,15.0
143,70.0
145,25.0
146,5.0
147,70.0
148,25.0
150,45.0
151,5.0
155,10.0
157,35.0
160,5.0
161,5.0
162,115.0
164,125.0
169,15.0
171,5.0
173,5.0
175,5.0
176,5.0
177,30.0
178,15.0
181,5.0
185,5.0
186,5.0
188,10.0
189,35.0
191,5.0
192,10.0
193,105.0
194,5.0
195,70.0
196,10.0
203,35.0
204,5.0
205,20.0
206,15.0
210,10.0
211,15.0
216,40.0
218,10.0
219,10.0
224,15.0
225,5.0
226,5.0
227,60.0
228,5.0
229,5.0
230,10.0
231,5.0
234,5.0
235,10.0
236,5.0
238,5.0
239,5.0
242,45.0
243,10.0
244,5.0
246,10.0
248,15.0
250,10.0
252,15.0
255,5.0
258,95.0
259,5.0
260,5.0
261,40.0
265,45.0
271,5.0
272,5.0
280,5.0
284,95.0
287,5.0
288,5.0
291,5.0
293,5.0
296,10.0
297,5.0
303,10.0
304,15.0
306,20.0
310,15.0
311,5.0
312,5.0
314,5.0
322,75.0
324,25.0
325,5.0
328,10.0
335,120.0
339,5.0
340,5.0
341,15.0
342,5.0
343,25.0
344,5.0
346,5.0
350,5.0
351,20.0
353,20.0
355,15.0
357,150.0
362,10.0
365,95.0
366,20.0
367,80.0
369,5.0
374,55.0
375,5.0
376,75.0
377,20.0
381,25.0
382,25.0
384,60.0
385,15.0
386,55.0
387,30.0
389,5.0
390,5.0
395,10.0
397,10.0
398,10.0
400,35.0
401,5.0
404,55.0
405,10.0
406,5.0
408,5.0
411,20.0
414,25.0
416,15.0
417,5.0
418,20.0
422,10.0
423,5.0
424,35.0
425,20.0
426,40.0
427,5.0
428,15.0
429,10.0
435,20.0
436,20.0
439,5.0
442,5.0
443,15.0
444,10.0
445,5.0
448,65.0
452,5.0
453,5.0
454,5.0
457,5.0
458,35.0
459,20.0
460,20.0
462,145.0
463,15.0
464,5.0
470,10.0
471,5.0
472,35.0
475,40.0
477,20.0
478,5.0
479,20.0
482,5.0
485,10.0
486,20.0
490,5.0
494,15.0
495,25.0
499,30.0
500,5.0
501,20.0
502,10.0
513,55.0
516,5.0
517,10.0
518,35.0
519,5.0
524,15.0
525,10.0
529,40.0
530,5.0
533,45.0
534,15.0
535,15.0
536,15.0
537,10.0
539,5.0
540,20.0
543,20.0
545,10.0
548,10.0
550,15.0
551,10.0
558,15.0
562,10.0
563,10.0
566,15.0
568,5.0
569,5.0
570,5.0
571,55.0
574,10.0
577,25.0
578,5.0
579,55.0
580,20.0
582,10.0
585,10.0
586,5.0
588,35.0
590,5.0
591,20.0
592,15.0
596,5.0
602,10.0
604,20.0
609,105.0
612,5.0
613,20.0
614,5.0
615,15.0
616,5.0
617,85.0
618,70.0
619,30.0
620,45.0
623,15.0
626,5.0
630,5.0
632,5.0
636,5.0
642,10.0
647,25.0
648,5.0
649,15.0
650,20.0
651,15.0
655,5.0
656,5.0
658,40.0
659,30.0
660,5.0
661,5.0
662,5.0
663,5.0
665,30.0
667,10.0
670,50.0
671,5.0
673,120.0
674,5.0
675,10.0
677,5.0
678,10.0
681,90.0
683,5.0
684,15.0
686,10.0
689,10.0
692,45.0
694,5.0
699,10.0
700,5.0
701,10.0
702,5.0
704,5.0
707,5.0
708,10.0
710,5.0
716,60.0
717,25.0
718,85.0
719,35.0
720,5.0
724,20.0
725,5.0
727,15.0
730,15.0
731,20.0
732,5.0
734,25.0
736,5.0
738,20.0
741,5.0
742,10.0
746,10.0
747,50.0
748,30.0
749,5.0
750,10.0
751,5.0
752,40.0
754,5.0
755,5.0
757,35.0
758,10.0
760,10.0
761,5.0
762,30.0
764,5.0
766,10.0
767,10.0
768,25.0
769,10.0
770,85.0
771,20.0
772,15.0
775,50.0
776,5.0
780,5.0
783,65.0
786,5.0
787,10.0
795,10.0
798,10.0
801,15.0
802,5.0
803,15.0
804,30.0
806,20.0
809,5.0
812,5.0
816,55.0
818,10.0
819,15.0
820,5.0
821,50.0
822,5.0
823,75.0
827,45.0
828,65.0
829,50.0
830,30.0
832,15.0
835,105.0
837,45.0
838,110.0
839,15.0
840,5.0
841,5.0
842,25.0
847,20.0
849,15.0
850,55.0
851,15.0
853,10.0
857,5.0
861,10.0
865,15.0
868,5.0
874,25.0
881,5.0
882,35.0
884,10.0
885,5.0
886,5.0
887,10.0
890,55.0
893,10.0
894,20.0
896,15.0
898,5.0
901,10.0
907,105.0
908,35.0
909,85.0
911,5.0
912,45.0
913,15.0
916,5.0
918,5.0
923,5.0
931,10.0
933,5.0
935,10.0
937,5.0
938,15.0
939,5.0
940,15.0
945,10.0
946,5.0
947,5.0
949,15.0
953,5.0
955,10.0
956,5.0
958,5.0
959,45.0
960,145.0
961,25.0
962,20.0
965,20.0
966,5.0
969,5.0
971,5.0
976,5.0
980,15.0
982,10.0
983,5.0
984,5.0
986,15.0
987,5.0
989,10.0
994,5.0
996,20.0
997,15.0
999,5.0
1004,10.0
1007,10.0
1011,5.0
1012,25.0
1013,5.0
1014,5.0
1015,20.0
1017,5.0
1018,10.0
1019,5.0
1020,10.0
1021,10.0
1023,5.0
1025,25.0
1026,5.0
1027,5.0
1030,5.0
1031,45.0
1032,5.0
1034,105.0
1037,60.0
1038,5.0
1039,5.0
1043,5.0
1045,90.0
1048,10.0
1052,5.0
1055,35.0
1057,10.0
1058,20.0
1063,5.0
1069,10.0
1071,65.0
1074,185.0
1076,30.0
1077,5.0
1078,15.0
1079,60.0
1080,20.0
1082,30.0
1084,5.0
1085,5.0
1087,5.0
1088,15.0
1090,20.0
1091,165.0
1092,20.0
1094,10.0
1097,5.0
1100,30.0
1101,5.0
1107,5.0
1109,20.0
1111,10.0
1112,35.0
1113,15.0
1114,10.0
1115,15.0
1117,35.0
1119,50.0
1122,5.0
1127,65.0
1128,5.0
1130,5.0
1131,15.0
1132,5.0
1133,5.0
1138,10.0
1139,5.0
1140,5.0
1141,10.0
1142,40.0
1143,35.0
1146,10.0
1148,5.0
1149,5.0
1150,20.0
1151,20.0
1152,10.0
1153,10.0
1154,15.0
1160,5.0
1161,5.0
1162,60.0
1163,100.0
1164,10.0
1165,5.0
1167,25.0
1169,10.0
1170,10.0
1171,15.0
1173,5.0
1179,15.0
1180,5.0
1182,45.0
1183,10.0
1187,35.0
1189,90.0
1190,85.0
1191,15.0
1193,5.0
1194,5.0
1195,135.0
1196,20.0
1197,5.0
1203,5.0
1205,15.0
1206,5.0
1207,25.0
1208,20.0
1213,75.0
1215,20.0
1216,25.0
1217,10.0
1220,5.0
1225,15.0
1227,140.0
1229,25.0
1230,10.0
1231,15.0
1235,55.0
1236,10.0
1238,35.0
1239,10.0
1243,15.0
1246,5.0
1247,10.0
1250,5.0
1254,10.0
1255,15.0
1257,5.0
1260,15.0
1261,15.0
1263,35.0
1264,35.0
1265,105.0
1267,5.0
1268,20.0
1270,5.0
1271,5.0
1272,5.0
1274,5.0
1276,20.0
1279,5.0
1280,5.0
1282,5.0
1283,5.0
1289,5.0
1290,10.0
1294,5.0
1295,60.0
1298,15.0
1301,10.0
1302,40.0
1303,5.0
1312,5.0
1313,5.0
1317,10.0
1319,70.0
1320,35.0
1321,5.0
1322,15.0
1325,10.0
1326,25.0
1328,10.0
1329,25.0
1330,25.0
1331,10.0
1332,10.0
1333,5.0
1334,5.0
1335,10.0
1336,20.0
1339,30.0
1340,5.0
1345,15.0
1346,5.0
1351,150.0
1353,5.0
1354,10.0
1355,10.0
1357,5.0
1358,10.0
1359,5.0
1363,5.0
1366,115.0
1367,10.0
1370,20.0
1371,5.0
1377,30.0
1378,10.0
1379,5.0
1380,5.0
1384,25.0
1385,15.0
1386,45.0
1388,15.0
1392,20.0
1393,10.0
1395,15.0
1397,5.0
1402,35.0
1404,40.0
1411,40.0
1413,25.0
1414,15.0
1415,15.0
1416,20.0
1417,10.0
1422,15.0
1424,15.0
1426,30.0
1427,15.0
1429,20.0
1430,35.0
1433,5.0
1435,10.0
1439,5.0
1440,5.0
1441,30.0
1442,45.0
1444,15.0
1446,10.0
1448,20.0
1449,10.0
1450,20.0
1451,5.0
1456,25.0
1457,25.0
1458,35.0
1460,25.0
1461,5.0
1462,5.0
1463,5.0
1467,5.0
1471,10.0
1473,30.0
1474,45.0
1475,10.0
1476,5.0
1482,5.0
1484,95.0
1488,30.0
1494,5.0
1496,5.0
1498,5.0
1500,10.0
1501,10.0
1502,10.0
1503,5.0
1506,5.0
1507,5.0
1508,10.0
1511,5.0
1513,10.0
1514,15.0
1515,5.0
1517,5.0
1518,15.0
1521,85.0
1522,40.0
1524,5.0
1526,15.0
1531,80.0
1532,20.0
1533,40.0
1534,20.0
1535,10.0
1536,15.0
1537,10.0
1538,10.0
1541,10.0
1544,30.0
1547,5.0
1548,15.0
1549,10.0
1550,45.0
1552,55.0
1553,35.0
1554,5.0
1559,5.0
1561,5.0
1563,15.0
1564,40.0
1566,40.0
1567,50.0
1570,10.0
1571,20.0
1572,175.0
1574,5.0
1575,5.0
1576,5.0
1577,5.0
1581,10.0
1582,25.0
1583,5.0
1584,45.0
1585,15.0
1590,15.0
1592,20.0
1593,30.0
1595,5.0
1598,5.0
1599,5.0
1603,5.0
1604,5.0
1605,5.0
1607,115.0
1608,20.0
1609,5.0
1610,15.0
1611,30.0
1615,40.0
1616,5.0
1617,5.0
1618,5.0
1621,20.0
1623,5.0
1626,20.0
1627,10.0
1632,5.0
1634,20.0
1635,5.0
1636,10.0
1637,25.0
1638,5.0
1641,85.0
1650,5.0
1652,30.0
1653,10.0
1654,45.0
1655,20.0
1657,5.0
1658,35.0
1659,15.0
1660,15.0
1661,5.0
1664,20.0
1666,10.0
1668,5.0
1672,5.0
1676,15.0
1680,35.0
1681,5.0
1683,35.0
1684,5.0
1686,10.0
1688,40.0
1689,5.0
1690,15.0
1692,80.0
1694,115.0
1696,5.0
1697,65.0
1698,5.0
1701,5.0
1703,5.0
1704,5.0
1707,5.0
1709,20.0
1710,30.0
1712,95.0
1713,5.0
1716,20.0
1717,35.0
1719,5.0
1722,15.0
1723,50.0
1725,5.0
1727,10.0
1728,5.0
1729,10.0
1731,45.0
1733,15.0
1737,20.0
1739,10.0
1740,10.0
1741,25.0
1742,5.0
1743,5.0
1746,5.0
1747,90.0
1748,5.0
1749,5.0
