cell,timestr,mindist
1,2021-07-16 11:35:28,45.97253568490169
2,2021-07-16 11:35:28,61.40257744343824
3,2021-07-16 11:35:28,30.484337662269006
4,2021-07-16 11:35:28,23.950321295354904
6,2021-07-16 11:35:28,43.13584992158668
7,2021-07-16 11:35:28,23.950321295354904
12,2021-07-16 11:35:28,41.724519418413074
13,2021-07-16 11:35:28,29.39353905071537
14,2021-07-16 11:35:28,29.39353905071537
15,2021-07-16 11:35:28,30.593016850286986
16,2021-07-16 11:35:28,26.023207238546696
17,2021-07-16 11:35:28,59.71475714843837
18,2021-07-16 11:35:28,19.81231738133226
19,2021-07-16 11:35:28,36.89753685560161
22,2021-07-16 11:35:28,81.80661772175863
25,2021-07-16 11:35:28,48.581811540127525
27,2021-07-16 11:35:28,102.15885656875818
28,2021-07-16 11:35:28,48.581811540127525
29,2021-07-16 11:35:28,63.20102014574779
30,2021-07-16 11:35:28,81.36793900115467
31,2021-07-16 11:35:28,24.373599827441435
33,2021-07-16 11:35:28,27.840420189459238
34,2021-07-16 11:35:28,30.1980467032207
35,2021-07-16 11:35:28,70.52214902334102
37,2021-07-16 11:35:28,39.40506678637685
38,2021-07-16 11:35:28,39.40506678637685
40,2021-07-16 11:35:28,57.6485549864434
41,2021-07-16 11:35:28,52.491066617007974
42,2021-07-16 11:35:28,379.2905399429115
43,2021-07-16 11:35:28,82.0083735583829
44,2021-07-16 11:35:28,43.264511166567345
45,2021-07-16 11:35:28,41.913909373452924
46,2021-07-16 11:35:28,41.913909373452924
48,2021-07-16 11:35:28,27.303274358079666
51,2021-07-16 11:35:28,27.303274358079666
53,2021-07-16 11:35:28,46.30508020000674
54,2021-07-16 11:35:28,73.21548838852075
56,2021-07-16 11:35:28,67.0300958756554
57,2021-07-16 11:35:28,123.59517049159852
58,2021-07-16 11:35:28,88.14929605012122
59,2021-07-16 11:35:28,60.96964807803387
60,2021-07-16 11:35:28,43.13584992158668
61,2021-07-16 11:35:28,73.39657432086561
62,2021-07-16 11:35:28,24.194811539186258
63,2021-07-16 11:35:28,24.194811539186258
65,2021-07-16 11:35:28,26.60245182457129
66,2021-07-16 11:35:28,38.70259779325126
67,2021-07-16 11:35:28,26.60245182457129
