frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
30,76,1201.0561100177908,881.5062608047829,99,260,9093,8960,2021-07-25 13:34:56,52.60429577509733,13.406240631977731,1,0.0,4718.0
31,74,1201.250392979158,880.3168202215465,132,260,9437,9216,2021-07-25 13:39:12,52.605425258255906,13.3948841133672,1,256.0,4718.0
32,225,1211.3976606535834,880.0232696547455,25,250,9877,9600,2021-07-25 13:45:36,52.664368589457524,13.39208123758632,1,0.0,5127.0
33,81,1213.2988273756246,882.062200587242,205,260,10129,9856,2021-07-25 13:49:52,52.67540556502657,13.411548318938141,1,256.0,5127.0
34,201,1221.435205263668,885.9078999514015,50,250,10537,10112,2021-07-25 13:54:08,52.722597167971706,13.448264974893029,1,512.0,5127.0
35,205,1231.1199353827974,886.3583227716009,45,250,10869,10496,2021-07-25 14:00:32,52.77870583309588,13.45256535460138,1,0.0,5613.0
36,221,1231.448140878867,887.6908573674802,98,250,11215,10752,2021-07-25 14:04:48,52.78060637609146,13.465287373643728,1,256.0,5613.0
37,208,1235.9150855754167,888.9020851248289,132,250,11543,11008,2021-07-25 14:09:04,52.80646203925288,13.476851247963584,1,512.0,5613.0
38,225,1241.4631355996762,891.9853240192579,50,250,11890,11392,2021-07-25 14:15:28,52.83855100085872,13.506288603550711,1,896.0,5613.0
39,213,1243.0457649277073,892.2206215326607,79,250,12241,11648,2021-07-25 14:19:44,52.84769948526564,13.508535043872325,1,1152.0,5613.0
40,222,1226.9666627675256,869.4331852083052,157,250,12578,11904,2021-07-25 14:24:00,52.75465530679272,13.29097371130519,1,,
41,313,1236.1934856446092,870.6862797625666,190,240,12978,12288,2021-07-25 14:30:24,52.808072373341474,13.302937838271193,1,0.0,6679.0
42,423,1243.0198757243313,874.045889901916,194,230,13375,12544,2021-07-25 14:34:40,52.84754986466355,13.335012821014482,1,256.0,6679.0
43,466,1245.656731124181,875.8078538327213,134,220,13735,12800,2021-07-25 14:38:56,52.862788954365286,13.351835472653585,1,512.0,6679.0
44,460,1247.4834907655934,875.0118681610236,248,220,14042,13184,2021-07-25 14:45:20,52.873344440533096,13.344235252407234,1,896.0,6679.0
45,478,1251.5182589470328,875.5826880519504,464,220,14358,13440,2021-07-25 14:49:36,52.89664704912494,13.349685547615174,1,1152.0,6679.0
46,482,1254.9055915208048,877.1802351611088,871,220,14671,13824,2021-07-25 14:56:00,52.91620315540687,13.364938101003514,1,1536.0,6679.0
47,491,1260.5193934562385,878.4140746140267,1353,220,14990,14080,2021-07-25 15:00:16,52.94858857541037,13.376717854462644,1,1792.0,6679.0
48,469,1264.9775831838379,877.7482622406961,1864,220,15293,14336,2021-07-25 15:04:32,52.9742894294387,13.370361188212975,1,2048.0,6679.0
49,475,1268.8477560694078,879.0164897841773,2300,220,15603,14592,2021-07-25 15:08:48,52.99659008661196,13.382469252805137,1,2304.0,6679.0
50,464,1271.7964140071501,880.2798562069821,2878,220,15904,14976,2021-07-25 15:15:12,53.01357492504424,13.394531174034409,1,2688.0,6679.0
51,486,1273.075901350054,883.0467763752906,3113,220,16223,15232,2021-07-25 15:19:28,53.020940914677546,13.420948293965372,1,2944.0,6679.0
52,465,1276.8248998498282,886.7185430486805,3875,220,16527,15488,2021-07-25 15:23:44,53.04251842107216,13.456004461727467,1,3200.0,6679.0
53,451,1282.8185851070846,888.8451964466827,4618,220,16817,15872,2021-07-25 15:30:08,53.076997475973066,13.476308118465177,1,3584.0,6679.0
54,440,1285.870350591692,889.1099473389125,5458,220,17106,16128,2021-07-25 15:34:24,53.09453868099628,13.478835757074217,1,3840.0,6679.0
55,424,1286.3542733436152,888.4345673909884,6021,220,17384,16384,2021-07-25 15:38:40,53.09732013675243,13.472387746955095,1,4096.0,6679.0
56,423,1288.4879916251352,890.3306708309004,6532,220,17659,16768,2021-07-25 15:45:04,53.109580670881094,13.49049060474298,1,4480.0,6679.0
57,432,1293.644480548719,892.5018306687293,7501,220,17948,17024,2021-07-25 15:49:20,53.13919808664635,13.511219813179636,1,4736.0,6679.0
