cell,timestr,mindist
16,2021-06-22 11:09:52,27.44174794325418
17,2021-06-22 11:09:52,74.91671590310048
19,2021-06-22 11:09:52,36.28572020865736
18,2021-06-22 11:09:52,31.654329590836873
20,2021-06-22 11:09:52,36.28572020865736
22,2021-06-22 11:09:52,37.25886172798729
25,2021-06-22 11:09:52,79.20271472211735
28,2021-06-22 11:09:52,15.596758685772386
234,2021-06-22 11:09:52,15.596758685772386
31,2021-06-22 11:09:52,105.69166028600472
33,2021-06-22 11:09:52,33.23640295568981
34,2021-06-22 11:09:52,33.23640295568981
39,2021-06-22 11:09:52,60.78441194984939
241,2021-06-22 11:09:52,60.78441194984939
41,2021-06-22 11:09:52,30.94771545605292
43,2021-06-22 11:09:52,32.20656732019681
44,2021-06-22 11:09:52,40.78724749078713
45,2021-06-22 11:09:52,127.60948938002271
46,2021-06-22 11:09:52,32.20656732019681
243,2021-06-22 11:09:52,51.64199576030165
244,2021-06-22 11:09:52,130.595777086221
49,2021-06-22 11:09:52,56.17055240571108
248,2021-06-22 11:09:52,80.97082033166981
252,2021-06-22 11:09:52,69.11432640420232
57,2021-06-22 11:09:52,14.571556455719032
254,2021-06-22 11:09:52,66.32294169548415
255,2021-06-22 11:09:52,14.571556455719032
257,2021-06-22 11:09:52,94.69923478505652
65,2021-06-22 11:09:52,80.51171343754766
66,2021-06-22 11:09:52,69.13045964595838
132,2021-06-22 11:09:52,69.13045964595838
71,2021-06-22 11:09:52,43.26167272869135
72,2021-06-22 11:09:52,50.32036140446094
73,2021-06-22 11:09:52,32.54943634818586
78,2021-06-22 11:09:52,41.92830895195678
76,2021-06-22 11:09:52,34.945480200161825
75,2021-06-22 11:09:52,27.44174794325418
77,2021-06-22 11:09:52,30.207579491257686
263,2021-06-22 11:09:52,37.25886172798729
79,2021-06-22 11:09:52,12.118075573758414
264,2021-06-22 11:09:52,12.118075573758414
266,2021-06-22 11:09:52,27.78323741110333
82,2021-06-22 11:09:52,27.78323741110333
83,2021-06-22 11:09:52,105.69166028600472
85,2021-06-22 11:09:52,74.10520643157018
269,2021-06-22 11:09:52,53.417806325334865
91,2021-06-22 11:09:52,30.94771545605292
93,2021-06-22 11:09:52,80.99280027766811
94,2021-06-22 11:09:52,87.09963908125138
95,2021-06-22 11:09:52,60.27570165546678
96,2021-06-22 11:09:52,80.99280027766811
99,2021-06-22 11:09:52,54.59818308167487
101,2021-06-22 11:09:52,56.17055240571108
104,2021-06-22 11:09:52,36.210167603454536
105,2021-06-22 11:09:52,91.0416859577546
102,2021-06-22 11:09:52,51.64199576030165
285,2021-06-22 11:09:52,52.86657846642071
61,2021-06-22 11:09:52,97.16543314161997
124,2021-06-22 11:09:52,92.90682664142041
293,2021-06-22 11:09:52,94.69923478505652
125,2021-06-22 11:09:52,100.39373200793788
126,2021-06-22 11:09:52,106.12113035790483
127,2021-06-22 11:09:52,86.17653425575176
298,2021-06-22 11:09:52,86.17653425575176
224,2021-06-22 11:09:52,119.53287986864996
134,2021-06-22 11:09:52,34.213311472369085
135,2021-06-22 11:09:52,28.53325949791489
74,2021-06-22 11:09:52,31.654329590836873
137,2021-06-22 11:09:52,32.68601182653598
138,2021-06-22 11:09:52,66.98872184456388
139,2021-06-22 11:09:52,41.381644667008985
142,2021-06-22 11:09:52,77.57266596185212
143,2021-06-22 11:09:52,78.30416675392306
146,2021-06-22 11:09:52,72.52185566436383
147,2021-06-22 11:09:52,47.488050062962145
149,2021-06-22 11:09:52,19.343321856211915
150,2021-06-22 11:09:52,112.44669776847934
302,2021-06-22 11:09:52,19.343321856211915
156,2021-06-22 11:09:52,92.46770066142103
311,2021-06-22 11:09:52,92.46770066142103
158,2021-06-22 11:09:52,83.40677571342297
159,2021-06-22 11:09:52,83.40677571342297
160,2021-06-22 11:09:52,64.10546052170206
161,2021-06-22 11:09:52,54.59818308167487
162,2021-06-22 11:09:52,35.28039482384567
163,2021-06-22 11:09:52,36.210167603454536
164,2021-06-22 11:09:52,16.41937498000327
315,2021-06-22 11:09:52,16.41937498000327
165,2021-06-22 11:09:52,55.864937270092376
169,2021-06-22 11:09:52,92.59312284474105
166,2021-06-22 11:09:52,28.34735146941014
168,2021-06-22 11:09:52,153.7222117325702
317,2021-06-22 11:09:52,39.665850922765834
171,2021-06-22 11:09:52,64.98655815752728
174,2021-06-22 11:09:52,49.68799618738336
178,2021-06-22 11:09:52,37.93675638918578
182,2021-06-22 11:09:52,37.93675638918578
183,2021-06-22 11:09:52,63.281883527127064
186,2021-06-22 11:09:52,58.661802303453825
119,2021-06-22 11:09:52,92.90682664142041
324,2021-06-22 11:09:52,58.661802303453825
